name,difficulty,genre,playerCount,playTime,description,strategies,funFact,price,popularity,releaseYear,publisher,icon,initial
코드네임,2,단어,4-8,15,두 팀으로 나뉘어 스파이마스터의 힌트로 요원을 찾는 게임,연상력과 추리력이 핵심,전세계 30개 언어로 번역됨,30000,high,2015,Czech Games Edition,🕵️,true
스플렌더,2,전략,2-4,30,보석을 모아 카드를 구매하며 점수를 쌓는 엔진빌딩 게임,초반 보석 확보가 중요,15분만에 배울 수 있는 전략게임,40000,high,2014,Space Cowboys,💎,true
티켓투라이드,2,전략,2-5,60,기차 노선을 연결하여 목적지를 완성하는 게임,긴 노선 우선 확보 전략,45개국 이상에서 판매,50000,high,2004,Days of Wonder,🚂,true
카탄,3,전략,3-4,90,자원을 모아 정착지를 건설하는 개척 게임,항구 위치가 승패 좌우,세계에서 가장 많이 팔린 게임 중 하나,45000,high,1995,Kosmos,🏝️,false
7 Wonders,3,전략,2-7,30,문명을 발전시켜 7대 불가사의를 건설하는 게임,과학 카드 연계가 강력,동시 진행으로 7명도 30분,48000,medium,2010,Repos Production,🏛️,false
아줄,2,타일배치,2-4,45,아름다운 타일로 왕궁을 장식하는 게임,색깔 패턴 파악 필수,2018년 올해의 게임 수상,45000,high,2017,Plan B Games,🎨,false
킹 오브 도쿄,1,주사위,2-6,30,괴수가 되어 도쿄를 점령하는 다이스 게임,공격과 체력 타이밍 중요,어린이도 쉽게 즐기는 파티게임,38000,high,2011,Iello,👾,false
디셉션,3,추리,4-12,20,살인사건의 범인을 찾는 추리 게임,법의학자의 힌트 해석이 핵심,12명까지 가능한 파티게임,42000,medium,2014,Jolly Thinkers,🔍,false
팬데믹,3,협력,2-4,45,전세계 질병 확산을 막는 협력 게임,역할 분담과 소통이 생명,협력게임의 대표작,48000,high,2008,Z-Man Games,🦠,false
윙스팬,4,엔진빌딩,1-5,70,새들의 서식지를 만드는 엔진빌딩 게임,알 낳기 콤보가 핵심,실제 새 일러스트 170종,60000,medium,2019,Stonemaier Games,🦅,false
도미니언,3,덱빌딩,2-4,30,카드로 자신만의 덱을 만드는 게임,액션 카드 타이밍이 중요,덱빌딩 장르의 원조,42000,high,2008,Rio Grande Games,👑,false
디스코드,2,파티,4-8,30,제한 시간 안에 단어 설명하는 파티게임,간결한 힌트가 승리의 열쇠,웃음이 끊이지 않는 게임,35000,high,2018,Big Potato Games,🎤,false
루미큐브,1,타일,2-4,60,숫자 타일을 조합하여 내려놓는 게임,타일 조합 패턴 파악 필수,50년 넘게 사랑받는 게임,32000,high,1950,Lemada Light,🔢,true
할리갈리,1,반응속도,2-6,15,같은 과일 5개가 나오면 종을 치는 게임,집중력과 순발력이 핵심,가족 모두 즐기는 스피드 게임,22000,high,1991,Amigo,🔔,true
블로커스,2,전략,2-4,20,자신의 타일을 모서리로 연결하는 게임,중앙 선점이 승리의 비결,추상전략게임의 명작,38000,high,2000,Mattel,🟦,false
쿼리도,2,미로,2-4,20,미로를 만들며 상대를 막는 전략게임,상대 동선 차단이 핵심,논리적 사고력 향상,35000,medium,1997,Gigamic,🌀,false
캐럿,1,파티,3-8,20,역할을 맞추는 소셜 추리게임,표정 관리가 생명,거짓말쟁이를 찾아라,28000,high,2012,dV Giochi,🥕,false
인사이더 게임,2,추리,4-8,15,문답으로 내부자를 찾는 추론게임,질문 선택이 중요,심리전의 백미,32000,medium,2016,Oink Games,🤔,false
젠가,1,손재주,1-8,20,나무 블록을 뽑아 쌓는 균형게임,무게중심 파악 필수,긴장감 최고조의 게임,25000,high,1983,Hasbro,🧱,true
다빈치코드,2,추리,2-4,20,상대 숫자를 맞추는 추리게임,확률 계산이 중요,두뇌 회전 속도 향상,30000,medium,2004,Korea Boardgames,🔐,false
스컬킹,2,트릭테이킹,2-6,30,자신이 딸 수 있는 트릭 수를 예측,정확한 예측이 승리의 길,해적 테마의 카드게임,28000,medium,2013,Schmidt Spiele,☠️,false
원나잇 인랑,2,추리,3-10,10,단 한 밤의 인랑 게임,블러핑과 추리의 조화,10분만에 끝나는 인랑,32000,high,2014,Bezier Games,🐺,false
